# Audiofrog official car-audio target curve (Andy Wehmeyer, 2024 revision)
# Source: audiofrog.com target curve download (OSM hi-res version), fetched 2026-08-30
# 8191 points, 2.93-23997 Hz linear grid, dB values not normalized
916.992,-0.589603
919.922,-0.592663
922.852,-0.595731
925.781,-0.598802
928.711,-0.60188
931.641,-0.60496
934.57,-0.608049
937.5,-0.61114
940.43,-0.614236
943.359,-0.617335
946.289,-0.620443
949.219,-0.623555
952.148,-0.626668
955.078,-0.629791
958.008,-0.632917
960.938,-0.636045
963.867,-0.639181
966.797,-0.642318
969.727,-0.645462
972.656,-0.648612
975.586,-0.651764
978.516,-0.654921
981.445,-0.658084
984.375,-0.661251
987.305,-0.66442
990.234,-0.667598
993.164,-0.670777
996.094,-0.673961
999.023,-0.677147
1001.95,-0.680343
1004.88,-0.68354
1007.81,-0.686742
1010.74,-0.689946
1013.67,-0.693157
1016.6,-0.696371
1019.53,-0.699593
1022.46,-0.702818
1025.39,-0.706039
1028.32,-0.709272
1031.25,-0.712506
1034.18,-0.715748
1037.11,-0.71899
1040.04,-0.722237
1042.97,-0.725489
1045.9,-0.728741
1048.83,-0.732002
1051.76,-0.735264
1054.69,-0.738531
1057.62,-0.741803
1060.55,-0.745074
1063.48,-0.748352
1066.41,-0.751636
1069.34,-0.75492
1072.27,-0.758211
1075.2,-0.761503
1078.13,-0.764798
1081.05,-0.768099
1083.98,-0.771404
1086.91,-0.77471
1089.84,-0.778018
1092.77,-0.781332
1095.7,-0.784652
1098.63,-0.78797
1101.56,-0.791295
1104.49,-0.794623
1107.42,-0.79795
1110.35,-0.801287
1113.28,-0.804624
1116.21,-0.807966
1119.14,-0.811307
1122.07,-0.814654
1125,-0.818005
1127.93,-0.821356
1130.86,-0.824714
1133.79,-0.828071
1136.72,-0.831436
1139.65,-0.834798
1142.58,-0.838166
1145.51,-0.841539
1148.44,-0.844912
1151.37,-0.848289
1154.3,-0.851667
1157.23,-0.855049
1160.16,-0.858434
1163.09,-0.861822
1166.02,-0.865214
1168.95,-0.868605
1171.88,-0.872
1174.8,-0.875399
1177.73,-0.878801
1180.66,-0.882202
1183.59,-0.885609
1186.52,-0.889018
1189.45,-0.892429
1192.38,-0.895842
1195.31,-0.899257
1198.24,-0.902674
1201.17,-0.906095
1204.1,-0.909519
1207.03,-0.912942
1209.96,-0.916367
1212.89,-0.919798
1215.82,-0.92323
1218.75,-0.926663
1221.68,-0.930097
1224.61,-0.933541
1227.54,-0.936975
1230.47,-0.940416
1233.4,-0.943864
1236.33,-0.94731
1239.26,-0.950758
1242.19,-0.954206
1245.12,-0.95766
1248.05,-0.961114
1250.98,-0.964569
1253.91,-0.968027
1256.84,-0.971487
1259.77,-0.97495
1262.7,-0.97841
1265.63,-0.981875
1268.55,-0.985341
1271.48,-0.988806
1274.41,-0.992278
1277.34,-0.995747
1280.27,-0.999223
1283.2,-1.00269
1286.13,-1.00617
1289.06,-1.00965
1291.99,-1.01313
1294.92,-1.01661
1297.85,-1.02009
1300.78,-1.02357
1303.71,-1.02705
1306.64,-1.03054
1309.57,-1.03403
1312.5,-1.03752
1315.43,-1.04101
1318.36,-1.0445
1321.29,-1.04799
1324.22,-1.05148
1327.15,-1.05497
1330.08,-1.05847
1333.01,-1.06197
1335.94,-1.06546
1338.87,-1.06896
1341.8,-1.07246
1344.73,-1.07596
1347.66,-1.07946
1350.59,-1.08296
1353.52,-1.08647
1356.45,-1.08997
1359.38,-1.09348
1362.3,-1.09698
1365.23,-1.10049
1368.16,-1.104
1371.09,-1.1075
1374.02,-1.11101
1376.95,-1.11453
1379.88,-1.11803
1382.81,-1.12155
1385.74,-1.12506
1388.67,-1.12857
1391.6,-1.13208
1394.53,-1.13559
1397.46,-1.13911
1400.39,-1.14263
1403.32,-1.14614
1406.25,-1.14965
1409.18,-1.15317
